codigo_municipio_x,nome_municipio,codigo_uf,uf,regiao,chave,codigo_municipio_y,ano,pib_municipal,data,cambio,desemprego,ipca,pib,selic,pib_per_capita,populacao,score_economico,valorizacao_esperada_12m
0.0,ALTA FLORESTA D'OESTE,0.0,RO,Norte,ALTA FLORESTA D'OESTE__RO,,,,,,,0.2160811584285509,,0.9162377244472346,0.3746386134092265,0.06524870045611789,0.24592328758226295,0.23253633604495674
1.9047197288291073e-06,ARIQUEMES,0.0,RO,Norte,ARIQUEMES__RO,,,,,,,0.7715068278693759,,0.9557479366790258,0.9509822237862711,0.8220985822739233,0.9064523952179238,0.7787311266091012
3.8094394576582147e-06,CABIXI,0.0,RO,Norte,CABIXI__RO,,,,,,,0.020064448935939172,,0.9271574204832762,0.732197544922115,0.646502533109425,0.5770276685744442,0.6152648040835511
8.095058847468195e-06,CACOAL,0.0,RO,Norte,CACOAL__RO,,,,,,,0.6707585086926809,,0.26243856008616984,0.5988228802953739,0.6475351258197248,0.6442723852121436,0.6651065550544493
9.76168861022142e-06,CEREJEIRAS,0.0,RO,Norte,CEREJEIRAS__RO,,,,,,,0.4692338264268575,,0.23245512136948188,0.15605287922072453,0.12834582254048152,0.2040193529455418,0.24703000960640115
1.1666408339050527e-05,COLORADO DO OESTE,0.0,RO,Norte,COLORADO DO OESTE__RO,,,,,,,0.3466830759822578,,0.29766018180356735,0.15602875202202388,0.6503812383383317,0.3433241302873414,0.4372858476422257
1.3571128067879634e-05,CORUMBIARA,0.0,RO,Norte,CORUMBIARA__RO,,,,,,,0.8624474870387909,,0.4413279285241296,0.05808905335630443,0.9828028469468468,0.5056421611537062,0.439918243683523
1.547584779670874e-05,COSTA MARQUES,0.0,RO,Norte,COSTA MARQUES__RO,,,,,,,0.854308931789297,,0.31416551737493315,0.8664192048820099,0.9121120001062862,0.9078054223862162,0.8696288792846268
1.9761467186574233e-05,ESPIGAO D'OESTE,0.0,RO,Norte,ESPIGAO D'OESTE__RO,,,,,,,0.022149119243492166,,0.37421973711339795,0.6012801301783322,0.4392445806426705,0.44285816434538705,0.5766800319326754
2.166618691534783e-05,GUAJARA-MIRIM,0.0,RO,Norte,GUAJARA-MIRIM__RO,,,,,,,0.6094893387536852,,0.6206801593785314,0.7082691468797104,0.03991029716826512,0.49681557200388987,0.4558449061309906
2.3570906644176937e-05,JARU,0.0,RO,Norte,JARU__RO,,,,,,,0.3677601376048074,,0.7625897659083114,0.02057890894674555,0.3623782297039616,0.18522368550707063,0.18057268175093663
